train_loss,val_loss,train_acc,val_acc,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1,learning_rate,medical_score
1.0499555244647636,0.818223018967916,0.6481481481481481,0.7708333333333334,0.6446202153919711,0.7745474788748006,0.6475632087150238,0.7702592769357149,0.6434788678146519,0.7641586144535374,0.0002993981569522882,0.7678190119428439
0.9035613675596853,0.781980701382198,0.7321428571428571,0.7946428571428571,0.728731056443794,0.7930935178652305,0.731633717772705,0.794020059768966,0.729819643289303,0.7886840010786311,0.0002975974734954951,0.7918856362928319
0.8706193969993995,0.786315311515142,0.7516534391534392,0.7847222222222222,0.7481739438460974,0.7870156501240004,0.7510916578242208,0.7840155267053794,0.749319008712251,0.7770703992555423,0.00029461244767403004,0.7812374757254446
0.8650340299126963,0.7833805386982267,0.7523148148148148,0.7881944444444444,0.7486995079949159,0.788066629966437,0.7517938733239575,0.7874613212086565,0.7496766565548095,0.7806348999774183,0.0002904671131606407,0.7847307527161612
0.8472809665417546,0.7974578369231451,0.7579365079365079,0.7757936507936508,0.7540515889569537,0.7817145416624801,0.7574145938486804,0.7750465331170029,0.7552780005968531,0.766049409926348,0.0002851948457514117,0.7714476838407409
0.8453334784381604,0.7857703997029198,0.7579365079365079,0.7881944444444444,0.7534547616365239,0.7939016529991209,0.7573619124436414,0.7874502162113036,0.7549947583502864,0.7802715825868052,0.000278838094643479,0.7845787627615042
0.8315188932040382,0.7793762887281085,0.7685185185185185,0.7956349206349206,0.7645300105914566,0.7991031349881228,0.7679983148735954,0.7949548414090867,0.7658294285637453,0.7885817941750132,0.00027144804065905466,0.7924056225154572
0.8206120988048574,0.752327878796865,0.7744708994708994,0.8055555555555556,0.7709336533714911,0.8076929299683107,0.7738973922340563,0.8049803437879826,0.7720990522138134,0.7999977950317937,0.00026308418416753985,0.802987324285507
0.818600505748123,0.7604115898647006,0.7734788359788359,0.8040674603174603,0.7697224050712027,0.8078109842708997,0.7728908871084463,0.8033230833657713,0.7708740087854631,0.7957867600523469,0.0002538138660235363,0.8003085540404016
0.8170004714102972,0.736304750991246,0.7761243386243386,0.8154761904761905,0.7717211345523569,0.8145103533722136,0.7754547176713167,0.8148657532943858,0.77304981348959,0.8088599456807563,0.00024371172537788064,0.812463430248934
