train_loss,val_loss,train_acc,val_acc,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
0.9769740499676672,0.8915690602291197,0.594813346547737,0.6185515873015873,0.5832841239889488,0.5656129052483617,0.5940622510414622,0.6179713388391385,0.5861792613506207,0.561550720249163
0.7307459302455788,0.9483424316322993,0.6929302940204823,0.6552579365079365,0.6824834290232693,0.7130803901284759,0.6921096422229046,0.6550892516032419,0.6857014440568452,0.6713731857038482
0.677600390719312,1.3825758194166518,0.7097786587380245,0.5262896825396826,0.7002913091191478,0.5922015594097557,0.7089564722992101,0.5255015660368721,0.7030947339731098,0.4900230689989657
0.6353423394777218,0.6877613725613744,0.7320779649818302,0.6870039682539683,0.7239394493802115,0.6832704660808071,0.7313084829088097,0.6863204767778125,0.7265019639210012,0.6564066263177888
0.6083992264197532,0.645267545940384,0.7409976874793525,0.7361111111111112,0.7327758145668123,0.7402379217155645,0.7401869342911855,0.7357139159551555,0.7350359112167326,0.7325700127544963
0.5771684861632121,0.6155778279099318,0.7530558308556327,0.7375992063492064,0.7459331541539572,0.7392578378422063,0.752256158340914,0.7366102059753932,0.7479320571516239,0.7226629447395245
0.5657978621220723,0.5806965220660444,0.7603237528906508,0.7524801587301587,0.7547047418842083,0.7483094981156451,0.7595875981939152,0.7517980897571037,0.7564583177144273,0.7422272419820836
0.5749198932792631,0.7265494462797448,0.7632969937231583,0.7137896825396826,0.7576564081887176,0.7155968653772112,0.7625755797104954,0.7127674771847922,0.7593881286332583,0.693460202554908
0.5508418473466458,0.5500843190765452,0.7667657746944169,0.7757936507936508,0.7614675572257725,0.7734253825145398,0.7660387914765714,0.775231045978906,0.76269026094573,0.7705997859537969
0.5284199949771137,0.5235789459834378,0.7741988767756856,0.785218253968254,0.7695108855823769,0.7864251394573081,0.7734819942090931,0.784736764808074,0.7707440016034421,0.7830433485244064
0.5147349538584924,0.7595971408152272,0.7783283779319459,0.7103174603174603,0.7732314382284733,0.7368978968720418,0.777596195981525,0.7097820297429356,0.7746083340758807,0.7071891557144749
0.5074252683532723,0.8349072625241538,0.788404360753221,0.7123015873015873,0.7840295301639716,0.7213261424061679,0.7877090282846192,0.7112919854616822,0.7851911409753625,0.7029738846908217
0.514151497036071,0.5307402782648477,0.7849355797819624,0.7638888888888888,0.7806889105309006,0.7759924821405365,0.7842388406236765,0.7629501351393225,0.7818091589740297,0.7316673935303204
0.4934619318584345,0.4706973204008555,0.7907168814007268,0.7951388888888888,0.7862256140846912,0.8043345623722249,0.7900123541706277,0.7945521889954427,0.7875246976842251,0.7845074953041055
0.5012083716584701,0.8879953405657222,0.7898909811694748,0.6284722222222222,0.7861763302070819,0.7634031827003311,0.7892602312280736,0.6275385965886939,0.7871169617890208,0.6100749574900868
0.48850143739481666,0.5032132773231419,0.7920383217707301,0.8020833333333334,0.7878516473438819,0.8165010313167663,0.7913344932487976,0.8015821229222363,0.7892538944187862,0.8057125538329611
0.4659748877930019,0.5268309457344927,0.8045920052857615,0.779265873015873,0.8016805041962751,0.7876402475094924,0.8039337869470472,0.7786569284946347,0.8023374437398587,0.7650674468353383
0.47410690869125627,0.6093269049056939,0.8029402048232573,0.7589285714285714,0.7995860972186747,0.7674925545960921,0.8023107780287813,0.7581540719678391,0.8003826389589209,0.7495335283605142
0.4610508088826109,0.561853633491352,0.8059134456557648,0.7395833333333334,0.8026516102878652,0.8005845289295749,0.8052738194664325,0.7386818960979289,0.803523789745455,0.7194900376147534
0.4544936335732687,1.3279051933740635,0.8077304261645193,0.6374007936507936,0.804494186549291,0.698314111832894,0.8070773395373013,0.6359728818042633,0.8050628495581063,0.5805178153047063
0.4239031667481132,0.4123121581616856,0.8225966303270565,0.8288690476190477,0.8199311880526615,0.8324164836886047,0.821992407320953,0.8282553303528915,0.8202725196990996,0.8286989397418513
0.41030118021982354,0.38768955140692435,0.8247439709283119,0.8353174603174603,0.8221999507964964,0.8301866737714875,0.8241025386819985,0.8346624432228744,0.8227277405070581,0.8319201451338761
0.4000420159077857,0.5443986497361154,0.8300297324083251,0.777281746031746,0.8278646203007796,0.7732652645310537,0.8294171509320174,0.7763674533001859,0.8280903359375461,0.7656335246743605
0.39560425248049963,0.435291279284727,0.8344895936570862,0.8139880952380952,0.8318714592277547,0.817501273223964,0.8338969746838327,0.8134753978470728,0.8325291444048324,0.8122582414989988
0.4013511356511524,0.44091429227837436,0.8306904525933267,0.808531746031746,0.8285170742234446,0.8315022217782555,0.8300851367913202,0.8078519909817888,0.8286890285654959,0.8023138522919645
0.3904651755009857,0.4191304616526597,0.8391146349520978,0.8253968253968254,0.8369185112422685,0.8319352744148881,0.8385506914394488,0.824831256906627,0.8373157065069382,0.8219017456374559
0.38669756640685365,0.44517368588057005,0.8374628344895937,0.8179563492063492,0.8355254768408379,0.818246331300935,0.8368784038332698,0.817216376259068,0.8356858276599647,0.8112324038592774
0.3927400933266631,0.45779880803699297,0.8376280145358441,0.8015873015873016,0.8349661977265704,0.8179570292551317,0.8370391978522171,0.8010353500118537,0.8355640932228623,0.805007736545884
0.3607148103758097,0.3533709039736081,0.8544763792533862,0.8531746031746031,0.8528906926108114,0.8544832395584153,0.8539201834609182,0.852586844043483,0.85235584438127,0.84919641860636
0.3591618660823874,0.36107655473253025,0.8481995374958705,0.84375,0.8467419213889817,0.8435698738010204,0.8476232276739528,0.8432038485752631,0.8463462128672475,0.8427283013200835
